
2024/03/13 (11:36:55) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/03/13 (11:36:56) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/03/13 (11:36:57) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/03/13 (11:36:58) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/03/13 (11:36:58) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2024/03/13 (11:36:58) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/03/13 (11:37:00) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2024/03/13 (11:37:00) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/03/13 (11:37:00) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/03/13 (11:37:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/03/13 (11:37:04) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/03/13 (11:37:04) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/03/13 (11:37:04) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/03/13 (11:37:04) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/03/13 (11:37:06) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2024/03/13 (11:37:07) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/03/13 (11:37:07) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2024/03/13 (11:37:08) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/03/13 (11:37:08) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2024/03/13 (11:37:08) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/03/13 (11:37:09) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2024/03/13 (11:37:09) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
